Load previous model.sav? [0/1]
0
..........AI : 9.088 s, Game : 17.659 s
Episode 112 avg. reward = -0.800, Long-term avg. reward = -0.422
..........AI : 16.298 s, Game : 33.134 s
Episode 113 avg. reward = 0.000, Long-term avg. reward = -0.417
..........AI : 12.413 s, Game : 27.758 s
Episode 114 avg. reward = -0.800, Long-term avg. reward = -0.421
..........AI : 12.813 s, Game : 28.853 s
Episode 115 avg. reward = -0.700, Long-term avg. reward = -0.424
..........AI : 18.549 s, Game : 41.502 s
Episode 116 avg. reward = -0.200, Long-term avg. reward = -0.422
..........AI : 16.687 s, Game : 36.657 s
Episode 117 avg. reward = -0.300, Long-term avg. reward = -0.421
..........AI : 21.964 s, Game : 45.267 s
Episode 118 avg. reward = 0.600, Long-term avg. reward = -0.410
..........AI : 15.664 s, Game : 28.479 s
Episode 119 avg. reward = -0.200, Long-term avg. reward = -0.408
..........AI : 15.561 s, Game : 28.423 s
Episode 120 avg. reward = -0.200, Long-term avg. reward = -0.406
..........AI : 11.807 s, Game : 22.661 s
Episode 121 avg. reward = -0.600, Long-term avg. reward = -0.408
..........AI : 11.836 s, Game : 22.943 s
Episode 122 avg. reward = -0.500, Long-term avg. reward = -0.409
..........AI : 13.183 s, Game : 25.627 s
Episode 123 avg. reward = -0.400, Long-term avg. reward = -0.409
..........AI : 22.639 s, Game : 42.988 s
Episode 124 avg. reward = 0.400, Long-term avg. reward = -0.401
..........AI : 15.071 s, Game : 30.385 s
Episode 125 avg. reward = -0.200, Long-term avg. reward = -0.399
..........AI : 11.886 s, Game : 24.328 s
Episode 126 avg. reward = -0.500, Long-term avg. reward = -0.400
..........AI : 10.936 s, Game : 21.041 s
Episode 127 avg. reward = -0.500, Long-term avg. reward = -0.401
..........AI : 17.242 s, Game : 33.443 s
Episode 128 avg. reward = -0.100, Long-term avg. reward = -0.398
..........AI : 17.203 s, Game : 35.777 s
Episode 129 avg. reward = 0.000, Long-term avg. reward = -0.394
..........AI : 14.580 s, Game : 29.074 s
Episode 130 avg. reward = -0.300, Long-term avg. reward = -0.393
..........AI : 10.284 s, Game : 21.344 s
Episode 131 avg. reward = -0.600, Long-term avg. reward = -0.395
..........AI : 20.991 s, Game : 43.034 s
Episode 132 avg. reward = 0.400, Long-term avg. reward = -0.387
..........AI : 9.562 s, Game : 19.464 s
Episode 133 avg. reward = -0.700, Long-term avg. reward = -0.390
..........AI : 10.045 s, Game : 18.608 s
Episode 134 avg. reward = -0.700, Long-term avg. reward = -0.393
..........AI : 13.011 s, Game : 25.841 s
Episode 135 avg. reward = -0.400, Long-term avg. reward = -0.393
..........AI : 11.880 s, Game : 23.470 s
Episode 136 avg. reward = -0.400, Long-term avg. reward = -0.393
..........AI : 14.584 s, Game : 28.958 s
Episode 137 avg. reward = -0.300, Long-term avg. reward = -0.393
..........AI : 10.499 s, Game : 20.744 s
Episode 138 avg. reward = -0.600, Long-term avg. reward = -0.395
..........AI : 14.356 s, Game : 30.409 s
Episode 139 avg. reward = -0.200, Long-term avg. reward = -0.393
..........AI : 15.195 s, Game : 31.114 s
Episode 140 avg. reward = -0.100, Long-term avg. reward = -0.390
..........AI : 11.502 s, Game : 23.093 s
Episode 141 avg. reward = -0.500, Long-term avg. reward = -0.391
..........AI : 13.602 s, Game : 27.480 s
Episode 142 avg. reward = -0.300, Long-term avg. reward = -0.390
..........AI : 14.387 s, Game : 28.222 s
Episode 143 avg. reward = -0.300, Long-term avg. reward = -0.389
..........AI : 13.731 s, Game : 27.712 s
Episode 144 avg. reward = -0.400, Long-term avg. reward = -0.389
..........AI : 16.714 s, Game : 33.558 s
Episode 145 avg. reward = 0.000, Long-term avg. reward = -0.385
..........AI : 20.712 s, Game : 42.408 s
Episode 146 avg. reward = 0.500, Long-term avg. reward = -0.376
..........AI : 18.848 s, Game : 37.843 s
Episode 147 avg. reward = 0.200, Long-term avg. reward = -0.371
..........AI : 16.188 s, Game : 31.818 s
Episode 148 avg. reward = -0.100, Long-term avg. reward = -0.368
..........AI : 19.298 s, Game : 38.297 s
Episode 149 avg. reward = 0.400, Long-term avg. reward = -0.360
..........AI : 10.186 s, Game : 19.440 s
Episode 150 avg. reward = -0.700, Long-term avg. reward = -0.364
..........AI : 19.040 s, Game : 38.965 s
Episode 151 avg. reward = 0.400, Long-term avg. reward = -0.356
..........AI : 16.493 s, Game : 32.748 s
Episode 152 avg. reward = 0.000, Long-term avg. reward = -0.352
..........AI : 16.993 s, Game : 34.879 s
Episode 153 avg. reward = 0.000, Long-term avg. reward = -0.349
..........AI : 12.236 s, Game : 24.373 s
Episode 154 avg. reward = -0.500, Long-term avg. reward = -0.350
..........AI : 17.156 s, Game : 33.430 s
Episode 155 avg. reward = -0.100, Long-term avg. reward = -0.348
..........AI : 11.867 s, Game : 24.005 s
Episode 156 avg. reward = -0.400, Long-term avg. reward = -0.348
..........AI : 15.347 s, Game : 29.559 s
Episode 157 avg. reward = -0.300, Long-term avg. reward = -0.348
..........AI : 11.508 s, Game : 21.129 s
Episode 158 avg. reward = -0.600, Long-term avg. reward = -0.350
..........AI : 428.172 s, Game : 37.923 s
Episode 159 avg. reward = 0.200, Long-term avg. reward = -0.345
..........AI : 14.513 s, Game : 30.069 s
Episode 160 avg. reward = -0.200, Long-term avg. reward = -0.344
..........AI : 13.279 s, Game : 27.822 s
Episode 161 avg. reward = -0.300, Long-term avg. reward = -0.343
..........AI : 18.293 s, Game : 37.784 s
Episode 162 avg. reward = 0.200, Long-term avg. reward = -0.338
..........AI : 12.793 s, Game : 26.184 s
Episode 163 avg. reward = -0.400, Long-term avg. reward = -0.338
..........AI : 16.426 s, Game : 33.345 s
Episode 164 avg. reward = -0.200, Long-term avg. reward = -0.337
..........AI : 12.187 s, Game : 25.062 s
Episode 165 avg. reward = -0.300, Long-term avg. reward = -0.337
..........AI : 15.676 s, Game : 30.151 s
Episode 166 avg. reward = -0.100, Long-term avg. reward = -0.334
..........AI : 16.193 s, Game : 33.197 s
Episode 167 avg. reward = 0.000, Long-term avg. reward = -0.331
..........AI : 15.011 s, Game : 26.730 s
Episode 168 avg. reward = -0.300, Long-term avg. reward = -0.331
..........AI : 16.294 s, Game : 31.836 s
Episode 169 avg. reward = -0.100, Long-term avg. reward = -0.328
..........AI : 12.914 s, Game : 25.377 s
Episode 170 avg. reward = -0.400, Long-term avg. reward = -0.329
..........AI : 20.798 s, Game : 41.440 s
Episode 171 avg. reward = 0.400, Long-term avg. reward = -0.322
..........AI : 11.793 s, Game : 22.857 s
Episode 172 avg. reward = -0.600, Long-term avg. reward = -0.324
..........AI : 19.247 s, Game : 36.419 s
Episode 173 avg. reward = 0.000, Long-term avg. reward = -0.321
..........AI : 16.919 s, Game : 30.560 s
Episode 174 avg. reward = -0.300, Long-term avg. reward = -0.321
..........AI : 25.909 s, Game : 48.168 s
Episode 175 avg. reward = 0.400, Long-term avg. reward = -0.314
..........AI : 17.974 s, Game : 34.200 s
Episode 176 avg. reward = -0.200, Long-term avg. reward = -0.313
..........AI : 19.861 s, Game : 40.440 s
Episode 177 avg. reward = 0.400, Long-term avg. reward = -0.306
..........AI : 15.199 s, Game : 26.371 s
Episode 178 avg. reward = -0.300, Long-term avg. reward = -0.305
..........AI : 11.188 s, Game : 20.749 s
Episode 179 avg. reward = -0.700, Long-term avg. reward = -0.309
..........AI : 15.818 s, Game : 29.380 s
Episode 180 avg. reward = -0.200, Long-term avg. reward = -0.308
..........AI : 22.481 s, Game : 45.043 s
Episode 181 avg. reward = 0.700, Long-term avg. reward = -0.298
..........AI : 16.514 s, Game : 33.915 s
Episode 182 avg. reward = 0.000, Long-term avg. reward = -0.295
..........AI : 12.436 s, Game : 24.995 s
Episode 183 avg. reward = -0.600, Long-term avg. reward = -0.298
..........AI : 17.917 s, Game : 37.944 s
Episode 184 avg. reward = 0.100, Long-term avg. reward = -0.294
..........AI : 12.272 s, Game : 25.192 s
Episode 185 avg. reward = -0.500, Long-term avg. reward = -0.296
..........AI : 16.184 s, Game : 33.085 s
Episode 186 avg. reward = -0.200, Long-term avg. reward = -0.295
..........AI : 14.178 s, Game : 30.168 s
Episode 187 avg. reward = -0.100, Long-term avg. reward = -0.293
..........AI : 17.709 s, Game : 38.125 s
Episode 188 avg. reward = 0.300, Long-term avg. reward = -0.288
..........AI : 14.662 s, Game : 31.086 s
Episode 189 avg. reward = -0.100, Long-term avg. reward = -0.286
..........AI : 15.387 s, Game : 32.670 s
Episode 190 avg. reward = 0.000, Long-term avg. reward = -0.283
..........AI : 13.550 s, Game : 27.972 s
Episode 191 avg. reward = -0.200, Long-term avg. reward = -0.282
..........AI : 13.535 s, Game : 27.665 s
Episode 192 avg. reward = -0.400, Long-term avg. reward = -0.283
..........AI : 18.059 s, Game : 37.385 s
Episode 193 avg. reward = 0.100, Long-term avg. reward = -0.279
..........AI : 14.515 s, Game : 30.640 s
Episode 194 avg. reward = -0.200, Long-term avg. reward = -0.278
..........AI : 15.850 s, Game : 32.735 s
Episode 195 avg. reward = -0.100, Long-term avg. reward = -0.277
..........AI : 13.542 s, Game : 27.424 s
Episode 196 avg. reward = -0.400, Long-term avg. reward = -0.278
..........AI : 14.323 s, Game : 29.905 s
Episode 197 avg. reward = -0.200, Long-term avg. reward = -0.277
..........AI : 16.165 s, Game : 33.800 s
Episode 198 avg. reward = 0.000, Long-term avg. reward = -0.274
..........AI : 20.432 s, Game : 43.616 s
Episode 199 avg. reward = 0.400, Long-term avg. reward = -0.268
..........AI : 14.433 s, Game : 29.823 s
Episode 200 avg. reward = -0.200, Long-term avg. reward = -0.267
..........AI : 18.297 s, Game : 38.255 s
Episode 201 avg. reward = 0.100, Long-term avg. reward = -0.263
..........AI : 18.537 s, Game : 38.938 s
Episode 202 avg. reward = 0.200, Long-term avg. reward = -0.259
..........AI : 19.416 s, Game : 41.383 s
Episode 203 avg. reward = 0.300, Long-term avg. reward = -0.253
..........AI : 18.028 s, Game : 35.633 s
Episode 204 avg. reward = 0.000, Long-term avg. reward = -0.251
..........AI : 12.351 s, Game : 26.384 s
