Episode 035 avg. reward = -1.000, Long-term avg. reward = -0.820
..........AI : 7.393 s, Game : 8.973 s
Episode 036 avg. reward = -1.000, Long-term avg. reward = -0.822
..........AI : 7.935 s, Game : 9.381 s
Episode 037 avg. reward = -1.000, Long-term avg. reward = -0.824
..........AI : 7.567 s, Game : 9.228 s
Episode 038 avg. reward = -1.000, Long-term avg. reward = -0.826
..........AI : 7.513 s, Game : 8.988 s
Episode 039 avg. reward = -1.000, Long-term avg. reward = -0.827
..........AI : 7.451 s, Game : 8.833 s
Episode 040 avg. reward = -1.000, Long-term avg. reward = -0.829
..........AI : 7.496 s, Game : 9.167 s
Episode 041 avg. reward = -1.000, Long-term avg. reward = -0.831
..........AI : 7.771 s, Game : 9.251 s
Episode 042 avg. reward = -1.000, Long-term avg. reward = -0.832
..........AI : 7.349 s, Game : 8.497 s
Episode 043 avg. reward = -1.000, Long-term avg. reward = -0.834
..........AI : 7.541 s, Game : 9.577 s
Episode 044 avg. reward = -1.000, Long-term avg. reward = -0.836
..........AI : 8.590 s, Game : 9.356 s
Episode 045 avg. reward = -1.000, Long-term avg. reward = -0.837
..........AI : 10.319 s, Game : 10.620 s
Episode 046 avg. reward = -1.000, Long-term avg. reward = -0.839
..........AI : 8.375 s, Game : 9.495 s
Episode 047 avg. reward = -1.000, Long-term avg. reward = -0.841
..........AI : 7.552 s, Game : 8.570 s
Episode 048 avg. reward = -1.000, Long-term avg. reward = -0.842
..........AI : 7.935 s, Game : 9.424 s
Episode 049 avg. reward = -1.000, Long-term avg. reward = -0.844
..........AI : 9.016 s, Game : 8.836 s
Episode 050 avg. reward = -1.000, Long-term avg. reward = -0.845
..........AI : 7.334 s, Game : 8.714 s
Episode 051 avg. reward = -1.000, Long-term avg. reward = -0.847
..........AI : 24.784 s, Game : 27.409 s
Episode 001 avg. reward = -0.300, Long-term avg. reward = -0.300
..........AI : 17.349 s, Game : 20.600 s
Episode 002 avg. reward = -0.700, Long-term avg. reward = -0.304
..........AI : 12.146 s, Game : 14.834 s
Episode 003 avg. reward = -0.900, Long-term avg. reward = -0.310
..........AI : 11.208 s, Game : 14.167 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.317
..........AI : 11.061 s, Game : 14.045 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.324
..........AI : 11.524 s, Game : 13.577 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.330
..........AI : 10.724 s, Game : 12.449 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.337
..........AI : 9.781 s, Game : 10.971 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.344
..........AI : 9.786 s, Game : 10.891 s
Episode 009 avg. reward = -1.000, Long-term avg. reward = -0.350
..........AI : 10.394 s, Game : 12.196 s
Episode 010 avg. reward = -1.000, Long-term avg. reward = -0.357
..........AI : 10.421 s, Game : 11.936 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.363
..........AI : 10.016 s, Game : 12.268 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.370
..........AI : 10.196 s, Game : 12.568 s
Episode 013 avg. reward = -1.000, Long-term avg. reward = -0.376
..........AI : 9.100 s, Game : 10.817 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.382
..........AI : 9.338 s, Game : 11.703 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.388
..........AI : 10.863 s, Game : 12.319 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.394
..........AI : 9.653 s, Game : 12.027 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.401
..........AI : 9.954 s, Game : 12.214 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.407
..........AI : 9.256 s, Game : 11.186 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.412
..........AI : 10.195 s, Game : 12.753 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.418
..........AI : 85.436 s, Game : 12.328 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.424
..........AI : 10.100 s, Game : 11.852 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.430
..........AI : 10.230 s, Game : 11.816 s
Episode 023 avg. reward = -1.000, Long-term avg. reward = -0.436
..........AI : 9.971 s, Game : 12.294 s
Episode 024 avg. reward = -1.000, Long-term avg. reward = -0.441
..........AI : 10.290 s, Game : 12.133 s
Episode 025 avg. reward = -1.000, Long-term avg. reward = -0.447
..........AI : 11.079 s, Game : 13.031 s
Episode 026 avg. reward = -1.000, Long-term avg. reward = -0.452
..........AI : 11.624 s, Game : 14.255 s
Episode 027 avg. reward = -1.000, Long-term avg. reward = -0.458
..........AI : 9.193 s, Game : 11.053 s
Episode 028 avg. reward = -1.000, Long-term avg. reward = -0.463
..........AI : 9.790 s, Game : 11.308 s
Episode 029 avg. reward = -1.000, Long-term avg. reward = -0.469
..........AI : 9.740 s, Game : 11.601 s
Episode 030 avg. reward = -1.000, Long-term avg. reward = -0.474
..........AI : 9.328 s, Game : 11.109 s
Episode 031 avg. reward = -1.000, Long-term avg. reward = -0.479
..........AI : 9.276 s, Game : 11.393 s
Episode 032 avg. reward = -1.000, Long-term avg. reward = -0.484
..........AI : 10.683 s, Game : 13.208 s
Episode 033 avg. reward = -1.000, Long-term avg. reward = -0.490
..........AI : 10.025 s, Game : 12.358 s
Episode 034 avg. reward = -1.000, Long-term avg. reward = -0.495
..........AI : 9.470 s, Game : 11.454 s
Episode 035 avg. reward = -1.000, Long-term avg. reward = -0.500
..........AI : 10.566 s, Game : 11.309 s
Episode 036 avg. reward = -1.000, Long-term avg. reward = -0.505
..........AI : 9.927 s, Game : 12.287 s
Episode 037 avg. reward = -1.000, Long-term avg. reward = -0.510
..........AI : 10.826 s, Game : 11.540 s
Episode 038 avg. reward = -1.000, Long-term avg. reward = -0.515
..........AI : 11.469 s, Game : 11.437 s
Episode 039 avg. reward = -1.000, Long-term avg. reward = -0.519
..........AI : 11.519 s, Game : 11.623 s
Episode 040 avg. reward = -1.000, Long-term avg. reward = -0.524
..........AI : 11.773 s, Game : 13.003 s
Episode 041 avg. reward = -1.000, Long-term avg. reward = -0.529
..........AI : 11.058 s, Game : 12.869 s
Episode 042 avg. reward = -1.000, Long-term avg. reward = -0.534
..........AI : 11.139 s, Game : 12.245 s
Episode 043 avg. reward = -1.000, Long-term avg. reward = -0.538
..........AI : 10.015 s, Game : 12.176 s
Episode 044 avg. reward = -1.000, Long-term avg. reward = -0.543
..........AI : 12.130 s, Game : 13.362 s
Episode 045 avg. reward = -1.000, Long-term avg. reward = -0.548
..........AI : 12.403 s, Game : 12.981 s
Episode 046 avg. reward = -1.000, Long-term avg. reward = -0.552
..........AI : 14.220 s, Game : 16.190 s
Episode 047 avg. reward = -1.000, Long-term avg. reward = -0.557
..........AI : 10.805 s, Game : 12.589 s
Episode 048 avg. reward = -1.000, Long-term avg. reward = -0.561
..........AI : 10.724 s, Game : 12.553 s
Episode 049 avg. reward = -1.000, Long-term avg. reward = -0.565
..........AI : 11.746 s, Game : 13.785 s
Episode 050 avg. reward = -1.000, Long-term avg. reward = -0.570
..........AI : 10.154 s, Game : 10.058 s
Episode 051 avg. reward = -1.000, Long-term avg. reward = -0.574
..........AI : 10.486 s, Game : 10.386 s
Episode 052 avg. reward = -1.000, Long-term avg. reward = -0.578
..........AI : 10.655 s, Game : 11.116 s
Episode 053 avg. reward = -1.000, Long-term avg. reward = -0.583
..........AI : 9.046 s, Game : 10.909 s
Episode 054 avg. reward = -1.000, Long-term avg. reward = -0.587
..........AI : 10.413 s, Game : 11.372 s
Episode 055 avg. reward = -1.000, Long-term avg. reward = -0.591
..........AI : 8.883 s, Game : 10.841 s
Episode 056 avg. reward = -1.000, Long-term avg. reward = -0.595
..........AI : 71.863 s, Game : 27.036 s
Episode 001 avg. reward = -0.400, Long-term avg. reward = -0.400
..........AI : 16.222 s, Game : 15.487 s
Episode 001 avg. reward = -0.900, Long-term avg. reward = -0.900
..........AI : 10.184 s, Game : 12.646 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.901
..........AI : 11.131 s, Game : 14.078 s
Episode 003 avg. reward = -1.000, Long-term avg. reward = -0.902
..........AI : 10.533 s, Game : 13.473 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.903
..........AI : 11.063 s, Game : 12.832 s
Episode 005 avg. reward = -1.000, Long-term avg. reward = -0.904
..........AI : 12.357 s, Game : 13.886 s
Episode 006 avg. reward = -1.000, Long-term avg. reward = -0.905
..........AI : 10.694 s, Game : 12.968 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.906
..........AI : 11.949 s, Game : 15.446 s
Episode 008 avg. reward = -1.000, Long-term avg. reward = -0.907
..........AI : 11.516 s, Game : 14.864 s
Episode 009 avg. reward = -0.900, Long-term avg. reward = -0.907
..........AI : 8.751 s, Game : 10.788 s
Episode 010 avg. reward = -1.000, Long-term avg. reward = -0.908
..........AI : 13.149 s, Game : 15.705 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.909
..........AI : 9.312 s, Game : 11.752 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.909
..........AI : 11.926 s, Game : 15.699 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.909
..........AI : 13.443 s, Game : 15.626 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.910
..........AI : 9.127 s, Game : 11.536 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.911
..........AI : 9.447 s, Game : 12.063 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.912
..........AI : 11.253 s, Game : 13.714 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.913
..........AI : 11.630 s, Game : 11.966 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.914
..........AI : 9.013 s, Game : 10.962 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.915
..........AI : 14.213 s, Game : 15.992 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.916
..........AI : 11.646 s, Game : 12.043 s
Episode 021 avg. reward = -0.900, Long-term avg. reward = -0.915
..........AI : 10.521 s, Game : 12.976 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.916
..........AI : 11.493 s, Game : 14.853 s
Episode 023 avg. reward = -1.000, Long-term avg. reward = -0.917
..........AI : 11.902 s, Game : 15.350 s
Episode 024 avg. reward = -1.000, Long-term avg. reward = -0.918
..........AI : 11.953 s, Game : 15.188 s
Episode 025 avg. reward = -0.900, Long-term avg. reward = -0.918
