..........AI : 9.543 s, Game : 1.207 s
Episode 178 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.577 s, Game : 1.186 s
Episode 179 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.369 s, Game : 1.256 s
Episode 180 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.647 s, Game : 1.230 s
Episode 181 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.467 s, Game : 1.069 s
Episode 182 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.681 s, Game : 1.190 s
Episode 183 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.047 s, Game : 1.154 s
Episode 184 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.165 s, Game : 1.277 s
Episode 185 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.076 s, Game : 1.064 s
Episode 186 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.781 s, Game : 1.005 s
Episode 187 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.255 s, Game : 1.239 s
Episode 188 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.438 s, Game : 1.281 s
Episode 189 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.761 s, Game : 1.205 s
Episode 190 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.193 s, Game : 1.260 s
Episode 191 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.836 s, Game : 1.214 s
Episode 192 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.316 s, Game : 1.191 s
Episode 193 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.034 s, Game : 1.328 s
Episode 194 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.742 s, Game : 1.113 s
Episode 195 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 7.727 s, Game : 0.934 s
Episode 196 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.229 s, Game : 1.283 s
Episode 197 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.949 s, Game : 1.265 s
Episode 198 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.676 s, Game : 1.151 s
Episode 199 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.158 s, Game : 1.105 s
Episode 200 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.557 s, Game : 1.160 s
Episode 201 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.406 s, Game : 1.018 s
Episode 202 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.621 s, Game : 1.334 s
Episode 203 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.447 s, Game : 1.160 s
Episode 204 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.566 s, Game : 1.165 s
Episode 205 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.566 s, Game : 1.152 s
Episode 206 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.414 s, Game : 1.176 s
Episode 207 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.894 s, Game : 1.081 s
Episode 208 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.219 s, Game : 0.990 s
Episode 209 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.951 s, Game : 1.140 s
Episode 210 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.993 s, Game : 1.253 s
Episode 211 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 7.952 s, Game : 1.027 s
Episode 212 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.602 s, Game : 1.267 s
Episode 213 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.924 s, Game : 1.166 s
Episode 214 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.756 s, Game : 1.211 s
Episode 215 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.615 s, Game : 1.197 s
Episode 216 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.626 s, Game : 1.151 s
Episode 217 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.268 s, Game : 1.067 s
Episode 218 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.858 s, Game : 1.135 s
Episode 219 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.159 s, Game : 1.188 s
Episode 220 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.484 s, Game : 1.130 s
Episode 221 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 10.175 s, Game : 1.358 s
Episode 222 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.313 s, Game : 1.243 s
Episode 223 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 9.768 s, Game : 1.297 s
Episode 224 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.477 s, Game : 1.035 s
Episode 225 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.567 s, Game : 1.140 s
Episode 226 avg. reward = -1.000, Long-term avg. reward = -0.999
..........AI : 8.436 s, Game : 1.202 s
